"companyname","companynumber","regaddress_careof","regaddress_pobox","regaddress_addressline1","regaddress_addressline2","regaddress_posttown","regaddress_county","regaddress_country","regaddress_postcode","companycategory","companystatus","countryoforigin","dissolutiondate","incorporationdate","accounts_accountrefday","accounts_accountrefmonth","accounts_nextduedate","accounts_lastmadeupdate","accounts_accountcategory","returns_nextduedate","returns_lastmadeupdate","mortgages_nummortcharges","mortgages_nummortoutstanding","mortgages_nummortpartsatisfied","mortgages_nummortsatisfied","siccode_sictext_1","siccode_sictext_2","siccode_sictext_3","siccode_sictext_4","limitedpartnerships_numgenpartners","limitedpartnerships_numlimpartners","uri","previousname_1_condate","previousname_1_companyname","previousname_2_condate","previousname_2_companyname","previousname_3_condate","previousname_3_companyname","previousname_4_condate","previousname_4_companyname","previousname_5_condate","previousname_5_companyname","previousname_6_condate","previousname_6_companyname","previousname_7_condate","previousname_7_companyname","previousname_8_condate","previousname_8_companyname","previousname_9_condate","previousname_9_companyname","previousname_10_condate","previousname_10_companyname","confstmtnextduedate","confstmtlastmadeupdate","ref_period"
"HOME RETAIL GROUP INSURANCE SERVICES LIMITED","04109436","","","AVEBURY","489-499 AVEBURY BOULEVARD","MILTON KEYNES","","UNITED KINGDOM","MK9 2NW","Private Limited Company","Active","United Kingdom","","16/11/2000","28","2","30/11/2017","27/02/2016","FULL","03/01/2017","06/12/2015","0","0","0","0","64999 - Financial intermediation not elsewhere classified","","","","0","0","http://business.data.gov.uk/id/company/04109436","24/10/2006","ARG INSURANCE SERVICES LIMITED","22/01/2002","GUS INSURANCE SERVICES LIMITED","21/02/2001","INHOCO 2186 LIMITED","","","","","","","","","","","","","","","20/12/2017","06/12/2016","201706"
"HOME RETAIL GROUP LIMITED","05863533","","","AVEBURY","489-499 AVEBURY BOULEVARD","MILTON KEYNES","","UNITED KINGDOM","MK9 2NW","Public Limited Company","Active","United Kingdom","","30/06/2006","13","3","13/12/2017","27/02/2016","GROUP","01/11/2016","04/10/2015","0","0","0","0","70100 - Activities of head offices","","","","0","0","http://business.data.gov.uk/id/company/05863533","12/09/2006","ARG HOLDINGS (UK) PLC","13/07/2006","HACKPLIMCO (NO.116) PUBLIC LIMITED COMPANY","","","","","","","","","","","","","","","","","18/10/2018","04/10/2016","201706"
"HOME RETAIL GROUP UK SERVICE COMPANY LIMITED","05844489","","","33 HOLBORN","","LONDON","","UNITED KINGDOM","EC1N 2HT","Private Limited Company","Active","United Kingdom","","13/06/2006","13","3","13/12/2017","27/02/2016","DORMANT","11/07/2017","13/06/2016","0","0","0","0","82990 - Other business support service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/05844489","03/04/2007","ARG (UK) LIMITED","16/11/2006","HOME RETAIL GROUP UK LIMITED","23/06/2006","HACKREMCO (NO. 2378) LIMITED","","","","","","","","","","","","","","","27/06/2018","","201706"
"HOME SHOPPING PERSONAL FINANCE LIMITED","03416726","","","TRINITY ROAD","HALIFAX","","","","HX1 2RG","Private Limited Company","Active","United Kingdom","","08/08/1997","31","12","30/09/2017","31/12/2015","FULL","28/01/2017","31/12/2015","0","0","0","0","64999 - Financial intermediation not elsewhere classified","","","","0","0","http://business.data.gov.uk/id/company/03416726","22/09/2003","GUS FINANCE LIMITED","30/01/1998","NWS 326 LIMITED","","","","","","","","","","","","","","","","","18/01/2018","04/01/2017","201706"
"HOMEBASE (NI) LIMITED","NI034159","","","21 ARTHUR STREET","BELFAST","NORTHERN IRELAND","","","BT1 4GA","Private Limited Company","Active","United Kingdom","","08/05/1998","28","2","30/11/2017","27/02/2016","DORMANT","05/06/2017","08/05/2016","0","0","0","0","99999 - Dormant Company","","","","0","0","http://business.data.gov.uk/id/company/NI034159","","","","","","","","","","","","","","","","","","","","","22/05/2018","","201706"
"HOMEBASE GROUP (2000) LIMITED","01460756","","","WITAN GATE HOUSE","500-600 WITAN GATE","MILTON KEYNES","","UNITED KINGDOM","MK9 1BA","Private Limited Company","Active","United Kingdom","","12/11/1979","28","2","30/11/2017","27/02/2016","FULL","19/07/2017","21/06/2016","4","0","0","4","70100 - Activities of head offices","","","","0","0","http://business.data.gov.uk/id/company/01460756","09/04/2001","HOMEBASE GROUP LIMITED","","","","","","","","","","","","","","","","","","","05/07/2018","","201706"
"HOMEBASE SPEND & SAVE LIMITED","04447084","","","WITAN GATE HOUSE","500-600 WITAN GATE","MILTON KEYNES","","UNITED KINGDOM","MK9 1BA","Private Limited Company","Active","United Kingdom","","24/05/2002","28","2","30/11/2017","27/02/2016","DORMANT","19/07/2017","21/06/2016","0","0","0","0","82990 - Other business support service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/04447084","","","","","","","","","","","","","","","","","","","","","05/07/2018","","201706"
"HOMEFAST PROPERTY SERVICES LIMITED","05299091","","","2ND FLOOR, GATEWAY 2","HOLGATE PARK DRIVE","YORK","","ENGLAND","YO26 4GB","Private Limited Company","Active","United Kingdom","","29/11/2004","31","12","30/09/2017","31/12/2015","FULL","16/01/2017","19/12/2015","0","0","0","0","69109 - Activities of patent and copyright agents; other legal activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/05299091","14/01/2009","HOMEFAST PROPERTY LAWYERS LIMITED","19/01/2005","BROOMCO (3616) LIMITED","","","","","","","","","","","","","","","","","02/01/2018","19/12/2016","201706"
"HOMEHEAT GAS COMPANY LIMITED","01947334","","","ATHENA HOUSE, ATHENA DRIVE","TACHBROOK PARK","WARWICK","WARWICKSHIRE","","CV34 6RL","Private Limited Company","Active","United Kingdom","","16/09/1985","31","12","30/09/2017","26/12/2015","FULL","15/01/2017","18/12/2015","2","0","0","2","46719 - Wholesale of other fuels and related products","","","","0","0","http://business.data.gov.uk/id/company/01947334","","","","","","","","","","","","","","","","","","","","","01/01/2018","18/12/2016","201706"
"HOMELOAN MANAGEMENT LIMITED","02214839","","","THE PAVILIONS","BRIDGWATER ROAD","BRISTOL","AVON","","BS13 8AE","Private Limited Company","Active","United Kingdom","","28/01/1988","30","6","31/03/2018","30/06/2016","FULL","21/05/2017","23/04/2016","0","0","0","0","64999 - Financial intermediation not elsewhere classified","","","","0","0","http://business.data.gov.uk/id/company/02214839","","","","","","","","","","","","","","","","","","","","","11/05/2018","27/04/2017","201706"
"HOMES FOR HARINGEY LIMITED","05749092","","","48 STATION ROAD","","LONDON","","ENGLAND","N22 7TY","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active","United Kingdom","","20/03/2006","31","3","31/12/2017","31/03/2016","GROUP","17/04/2017","20/03/2016","0","0","0","0","98000 - Residents property management","","","","0","0","http://business.data.gov.uk/id/company/05749092","","","","","","","","","","","","","","","","","","","","","03/04/2018","20/03/2017","201706"
"HOMES FOR NORTHUMBERLAND LIMITED","04375380","PAUL JONES","","COUNTY HALL","","MORPETH","NORTHUMBERLAND","ENGLAND","NE61 2EF","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active","United Kingdom","","15/02/2002","31","3","31/12/2017","31/03/2016","FULL","13/03/2017","13/02/2016","0","0","0","0","68320 - Management of real estate on a fee or contract basis","84110 - General public administration activities","","","0","0","http://business.data.gov.uk/id/company/04375380","01/04/2009","BLYTH VALLEY HOUSING LIMITED","","","","","","","","","","","","","","","","","","","27/02/2018","13/02/2017","201706"
"HOMESERVE MEMBERSHIP LIMITED","02770612","","","CABLE DRIVE","WALSALL","","","","WS2 7BN","Private Limited Company","Active","United Kingdom","","03/12/1992","31","3","31/12/2017","31/03/2016","FULL","10/08/2016","13/07/2015","0","0","0","0","43220 - Plumbing, heat and air-conditioning installation","65120 - Non-life insurance","","","0","0","http://business.data.gov.uk/id/company/02770612","01/04/2008","HOMESERVE GB LIMITED","18/04/2005","HOME SERVICE (GB) LIMITED","01/04/1999","FASTFIX (HOLDINGS) LIMITED","","","","","","","","","","","","","","","10/08/2018","27/07/2016","201706"
"HOMESERVE WARRANTIES LIMITED","03156861","","","CABLE DRIVE","WALSALL","","","","WS2 7BN","Private Limited Company","Active","United Kingdom","","08/02/1996","31","3","31/12/2017","31/03/2016","DORMANT","08/03/2017","08/02/2016","1","0","0","1","99999 - Dormant Company","","","","0","0","http://business.data.gov.uk/id/company/03156861","18/04/2005","REGENCY WARRANTIES LIMITED","","","","","","","","","","","","","","","","","","","22/02/2018","08/02/2017","201706"
"HOMESTYLE GROUP OPERATIONS LIMITED","03130486","","","5TH FLOOR FESTIVAL HOUSE","JESSOP AVENUE","CHELTENHAM","GLOUCESTERSHIRE","","GL50 3SH","Private Limited Company","Active","United Kingdom","","24/11/1995","30","9","30/06/2017","27/06/2015","FULL","22/12/2016","24/11/2015","1","1","0","0","70100 - Activities of head offices","","","","0","0","http://business.data.gov.uk/id/company/03130486","20/12/2010","HOMESTYLE OPERATIONS LIMITED","18/10/2001","LEVELBRAND LIMITED","","","","","","","","","","","","","","","","","07/12/2017","23/11/2016","201706"
"HOMESTYLE OPERATIONS LIMITED","00619357","","","5TH FLOOR FESTIVAL HOUSE","JESSOP AVENUE","CHELTENHAM","GLOUCESTERSHIRE","","GL50 3SH","Private Limited Company","Active","United Kingdom","","22/01/1959","30","9","30/06/2017","30/06/2015","DORMANT","14/03/2017","14/02/2016","1","1","0","0","99999 - Dormant Company","","","","0","0","http://business.data.gov.uk/id/company/00619357","13/06/2013","MC (NO 23) LIMITED","06/03/2013","CORT (HOLDINGS) LIMITED","","","","","","","","","","","","","","","","","28/02/2018","14/02/2017","201706"
"HONDA OF THE U.K. MANUFACTURING LIMITED","01887872","","","HIGHWORTH ROAD","SOUTH MARSTON","SWINDON","WILTSHIRE","","SN3 4TZ","Private Limited Company","Active","United Kingdom","","19/02/1985","31","3","31/12/2017","31/03/2016","FULL","06/02/2017","09/01/2016","0","0","0","0","29100 - Manufacture of motor vehicles","","","","0","0","http://business.data.gov.uk/id/company/01887872","","","","","","","","","","","","","","","","","","","","","23/01/2018","09/01/2017","201706"
"HONEYBEE DIGITAL SOLUTIONS LIMITED","02881162","","","1 PORTAL WAY","LONDON","","","","W3 6RS","Private Limited Company","Active","United Kingdom","","15/12/1993","30","4","31/01/2018","30/04/2016","FULL","05/06/2017","08/05/2016","1","0","0","1","61900 - Other telecommunications activities","63110 - Data processing, hosting and related activities","","","0","0","http://business.data.gov.uk/id/company/02881162","14/03/2017","ISE-NET SOLUTIONS LIMITED","23/10/2000","MOBILE PHONE SURPLUS STORE LIMITED","","","","","","","","","","","","","","","","","03/02/2018","20/01/2017","201706"
"HONEYWELL ACQUISITIONS II LIMITED","05667809","","","HONEYWELL HOUSE","SKIMPED HILL LANE","BRACKNELL","BERKS","","RG12 1EB","Private Limited Company","Active","United Kingdom","","06/01/2006","31","12","30/09/2018","31/12/2016","FULL","03/02/2017","06/01/2016","0","0","0","0","64209 - Activities of other holding companies n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/05667809","","","","","","","","","","","","","","","","","","","","","20/01/2018","06/01/2017","201706"
"HONEYWELL ACQUISITIONS LIMITED","05319521","","","HONEYWELL HOUSE","SKIMPED HILL LANE","BRACKNELL","BERKS","","RG12 1EB","Private Limited Company","Active","United Kingdom","","22/12/2004","31","12","30/09/2018","31/12/2016","FULL","19/01/2017","22/12/2015","0","0","0","0","64209 - Activities of other holding companies n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/05319521","","","","","","","","","","","","","","","","","","","","","04/01/2018","21/12/2016","201706"
"HONEYWELL ANALYTICS LIMITED","00412070","","","HONEYWELL HOUSE","SKIMPED HILL LANE","BRACKNELL","BERKS","","RG12 1EB","Private Limited Company","Active","United Kingdom","","03/06/1946","31","12","30/09/2017","31/12/2015","FULL","12/11/2016","15/10/2015","2","0","0","2","46180 - Agents specialized in the sale of other particular products","","","","0","0","http://business.data.gov.uk/id/company/00412070","11/07/2005","ZELLWEGER ANALYTICS LIMITED","","","","","","","","","","","","","","","","","","","29/10/2018","15/10/2016","201706"
"HONEYWELL AVIONICS SYSTEMS LIMITED","02160822","","","HONEYWELL HOUSE","SKIMPED HILL LANE","BRACKNELL","BERKS","","RG12 1EB","Private Limited Company","Active","United Kingdom","","03/09/1987","31","12","30/09/2018","31/12/2016","FULL","19/04/2017","22/03/2016","0","0","0","0","96090 - Other service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/02160822","","","","","","","","","","","","","","","","","","","","","29/03/2018","15/03/2017","201706"
"HONEYWELL BRYAN DONKIN GAS TECHNOLOGIES LTD.","03123056","","","ENTERPRISE WAY","HOLMEWOOD","CHESTERFIELD","DERBYSHIRE","","S42 5UZ","Private Limited Company","Active","United Kingdom","","07/11/1995","31","12","30/09/2017","31/12/2015","FULL","05/12/2016","07/11/2015","5","0","0","5","32990 - Other manufacturing n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/03123056","21/12/2016","BRYAN DONKIN RMG GAS CONTROLS LIMITED","","","","","","","","","","","","","","","","","","","21/11/2018","07/11/2016","201706"
"HONEYWELL CONTROL SYSTEMS LIMITED","00217803","","","HONEYWELL HOUSE","SKIMPED HILL LANE","BRACKNELL","BERKS","","RG12 1EB","Private Limited Company","Active","United Kingdom","","27/11/1926","31","12","30/09/2017","31/12/2015","FULL","19/06/2017","22/05/2016","6","1","0","5","82990 - Other business support service activities n.e.c.","96090 - Other service activities n.e.c.","","","0","0","http://business.data.gov.uk/id/company/00217803","","","","","","","","","","","","","","","","","","","","","05/06/2018","22/05/2017","201706"
"HONEYWELL GROUP HOLDING UK","03893519","","","HONEYWELL HOUSE","SKIMPED HILL LANE","BRACKNELL","BERKS","","RG12 1EB","Private Unlimited Company","Active","United Kingdom","","08/12/1999","31","12","","31/12/2016","FULL","05/01/2017","08/12/2015","0","0","0","0","64209 - Activities of other holding companies n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/03893519","","","","","","","","","","","","","","","","","","","","","13/12/2017","29/11/2016","201706"
"HONEYWELL GROUP HOLDING UK II","03896222","","","HONEYWELL HOUSE","SKIMPED HILL LANE","BRACKNELL","BERKS","","RG12 1EB","Private Unlimited Company","Active","United Kingdom","","14/12/1999","31","12","","31/12/2015","FULL","11/01/2017","14/12/2015","0","0","0","0","64209 - Activities of other holding companies n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/03896222","","","","","","","","","","","","","","","","","","","","","28/12/2017","14/12/2016","201706"
"HONEYWELL HOLDINGS LIMITED","03560836","","","HONEYWELL HOUSE","SKIMPED HILL LANE","BRACKNELL","BERKS","","RG12 1EB","Private Limited Company","Active","United Kingdom","","08/05/1998","31","12","30/09/2018","31/12/2016","FULL","02/06/2017","05/05/2016","0","0","0","0","64209 - Activities of other holding companies n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/03560836","18/11/1998","APPLYLATER LIMITED","","","","","","","","","","","","","","","","","","","19/05/2018","05/05/2017","201706"
"HONEYWELL LIMITED","00320495","","","HONEYWELL HOUSE","SKIMPED HILL LANE","BRACKNELL","BERKS","","RG12 1EB","Private Limited Company","Active","United Kingdom","","09/11/1936","31","12","30/09/2018","31/12/2016","FULL","22/06/2017","25/05/2016","0","0","0","0","64209 - Activities of other holding companies n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/00320495","","","","","","","","","","","","","","","","","","","","","02/06/2018","19/05/2017","201706"
"HONEYWELL NORMALAIR-GARRETT LIMITED","00915735","","","HONEYWELL HOUSE","SKIMPED HILL LANE","BRACKNELL","BERKS","","RG12 1EB","Private Limited Company","Active","United Kingdom","","19/09/1967","31","12","30/09/2018","31/12/2016","DORMANT","24/03/2017","24/02/2016","1","0","0","1","74990 - Non-trading company","","","","0","0","http://business.data.gov.uk/id/company/00915735","22/05/2000","NORMALAIR-GARRETT LIMITED","","","","","","","","","","","","","","","","","","","07/03/2018","21/02/2017","201706"
"HONEYWELL SAFETY PRODUCTS (UK) LTD","01093827","","","HONEYWELL HOUSE","SKIMPED HILL LANE","BRACKNELL","BERKSHIRE","ENGLAND","RG12 1EB","Private Limited Company","Active","United Kingdom","","01/02/1973","31","12","30/09/2018","31/12/2016","FULL","26/05/2017","28/04/2016","2","0","0","2","96090 - Other service activities n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/01093827","19/11/2013","SPERIAN PROTECTION (UK) LTD","24/08/2007","BACOU-DALLOZ LIMITED","15/03/2002","DALLOZ SAFETY LIMITED","01/07/1997","BILSOM INTERNATIONAL LIMITED","","","","","","","","","","","","","11/05/2018","27/04/2017","201706"
"HONEYWELL SECURITY UK LIMITED","01248725","","","HONEYWELL HOUSE","SKIMPED HILL LANE","BRACKNELL","BERKS","","RG12 1EB","Private Limited Company","Active","United Kingdom","","12/03/1976","31","12","30/09/2017","31/12/2015","FULL","07/12/2016","09/11/2015","7","1","0","6","32990 - Other manufacturing n.e.c.","","","","0","0","http://business.data.gov.uk/id/company/01248725","21/04/2004","ADEMCO MICROTECH LIMITED","","","","","","","","","","","","","","","","","","","23/11/2017","09/11/2016","201706"
"HONEYWELL VIDEO SYSTEMS UK LIMITED","01501883","","","4 ASTON FIELDS ROAD","WHITEHOUSE INDUSTRIAL ESTATE","RUNCORN","CHESHIRE","","WA7 3DL","Private Limited Company","Active","United Kingdom","","13/06/1980","31","12","30/09/2018","31/12/2016","DORMANT","21/07/2017","23/06/2016","6","0","0","6","74990 - Non-trading company","","","","0","0","http://business.data.gov.uk/id/company/01501883","21/05/2004","VIDEO CONTROLS LIMITED","","","","","","","","","","","","","","","","","","","07/07/2018","","201706"
"HOOPER GALTON LIMITED","03720830","","","PO BOX 70693 62 BUCKINGHAM GATE","","LONDON","","UNITED KINGDOM","SW1P 9ZP","Private Limited Company","Active","United Kingdom","","25/02/1999","31","12","30/09/2017","31/12/2015","DORMANT","29/04/2017","01/04/2016","2","0","0","2","73110 - Advertising agencies","","","","0","0","http://business.data.gov.uk/id/company/03720830","","","","","","","","","","","","","","","","","","","","","15/04/2018","01/04/2017","201706"
"HOPE CEMENT LIMITED","08284549","","","BREEDON QUARRY MAIN STREET","BREEDON-ON-THE-HILL","DERBY","","ENGLAND","DE73 8AP","Private Limited Company","Active","United Kingdom","","07/11/2012","31","12","30/09/2017","31/12/2015","GROUP","05/12/2016","07/11/2015","6","2","0","4","08110 - Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate","08120 - Operation of gravel and sand pits; mining of clays and kaolin","23510 - Manufacture of cement","23630 - Manufacture of ready-mixed concrete","0","0","http://business.data.gov.uk/id/company/08284549","01/08/2016","HOPE CONSTRUCTION MATERIALS LIMITED","26/11/2013","HOPE VALLEY HOLDINGS LIMITED","","","","","","","","","","","","","","","","","21/11/2018","07/11/2016","201706"
"HOPECAR LIMITED","00111406","","","ST JAMES BUILDING","79 OXFORD STREET","MANCHESTER","","","M1 6HT","Private Limited Company","Liquidation","United Kingdom","","20/08/1910","31","12","31/10/2006","31/12/2004","DORMANT","15/12/2005","17/11/2004","1","0","0","1","9999 - Dormant company","","","","0","0","http://business.data.gov.uk/id/company/00111406","","","","","","","","","","","","","","","","","","","","","01/12/2017","","201706"
"HOPKINSON TRANSPORT (CHESTERFIELD) LIMITED","02130203","","","XPO HOUSE LODGE WAY","NEW DUSTON","NORTHAMPTON","","UNITED KINGDOM","NN5 7SL","Private Limited Company","Active","United Kingdom","","11/05/1987","31","12","30/09/2018","31/12/2016","DORMANT","05/06/2017","08/05/2016","1","0","0","1","99999 - Dormant Company","","","","0","0","http://business.data.gov.uk/id/company/02130203","","","","","","","","","","","","","","","","","","","","","22/05/2018","08/05/2017","201706"
"HOPS PUB COMPANY LIMITED","06457363","","","PORTER TUN HOUSE","500 CAPABILITY GREEN","LUTON","BEDS","","LU1 3LS","Private Limited Company","Active","United Kingdom","","19/12/2007","25","9","25/06/2018","25/09/2016","FULL","16/01/2017","19/12/2015","37","1","0","36","56302 - Public houses and bars","","","","0","0","http://business.data.gov.uk/id/company/06457363","28/02/2008","DWSCO 2731 LIMITED","","","","","","","","","","","","","","","","","","","02/01/2018","19/12/2016","201706"
"HORIZON CAPITAL 2000 LIMITED","SC144653","","","LEVEL 1,CIYTMARK","150 FOUNTAINBRIDGE","EDINBURGH","","","EH3 9PE","Private Limited Company","Active","United Kingdom","","27/05/1993","31","12","30/09/2017","31/12/2015","FULL","24/06/2017","27/05/2016","0","0","0","0","64999 - Financial intermediation not elsewhere classified","","","","0","0","http://business.data.gov.uk/id/company/SC144653","21/07/2000","HORIZON CAPITAL LIMITED","12/03/1998","BOS PROPERTY ASSETS LIMITED","","","","","","","","","","","","","","","","","10/06/2018","","201706"
"HORIZON CAPITAL LIMITED","SC145063","","","LEVEL 1,CITYMARK","150 FOUNTAINBRIDGE","EDINBURGH","","","EH3 9PE","Private Limited Company","Active","United Kingdom","","21/06/1993","31","12","30/09/2017","30/06/2015","FULL","19/07/2017","21/06/2016","0","0","0","0","64999 - Financial intermediation not elsewhere classified","","","","0","0","http://business.data.gov.uk/id/company/SC145063","21/07/2000","CLIFTON COURT NURSING HOME LIMITED","","","","","","","","","","","","","","","","","","","05/07/2018","","201706"
"HORIZON HOUSING ASSOCIATION LIMITED","SP1827RS","","","","","","","","","Industrial and Provident Society","Active","United Kingdom","","15/10/1982","","","","","NO ACCOUNTS FILED","","","0","0","0","0","None Supplied","","","","0","0","http://business.data.gov.uk/id/company/SP1827RS","","","","","","","","","","","","","","","","","","","","","29/10/2018","","201706"
"HORIZON RESOURCES LIMITED","SC141821","","","LEVEL 1,CITYMARK","150 FOUNTAINBRIDGE","EDINBURGH","","","EH3 9PE","Private Limited Company","Active","United Kingdom","","18/12/1992","31","12","30/09/2017","31/12/2015","FULL","14/01/2017","17/12/2015","0","0","0","0","64999 - Financial intermediation not elsewhere classified","","","","0","0","http://business.data.gov.uk/id/company/SC141821","12/03/1998","CAIRN HOTELS (HOLDINGS) LIMITED","","","","","","","","","","","","","","","","","","","02/01/2018","19/12/2016","201706"
